f,Trace 1,Trace 2,Trace 3
9750000.000, -7.47630e+01, -2.14748e+06, -2.14748e+06
9800000.000, -7.45760e+01, -2.14748e+06, -2.14748e+06
9850000.000, -7.47110e+01, -2.14748e+06, -2.14748e+06
9900000.000, -7.48260e+01, -2.14748e+06, -2.14748e+06
9950000.000, -7.45950e+01, -2.14748e+06, -2.14748e+06
10000000.000, -7.43800e+01, -2.14748e+06, -2.14748e+06
10050000.000, -7.47950e+01, -2.14748e+06, -2.14748e+06
10100000.000, -7.44870e+01, -2.14748e+06, -2.14748e+06
10150000.000, -7.46070e+01, -2.14748e+06, -2.14748e+06
10200000.000, -7.42960e+01, -2.14748e+06, -2.14748e+06
10250000.000, -7.45550e+01, -2.14748e+06, -2.14748e+06
10300000.000, -7.47310e+01, -2.14748e+06, -2.14748e+06
10350000.000, -7.45900e+01, -2.14748e+06, -2.14748e+06
10400000.000, -7.46740e+01, -2.14748e+06, -2.14748e+06
10450000.000, -7.47200e+01, -2.14748e+06, -2.14748e+06
10500000.000, -7.45840e+01, -2.14748e+06, -2.14748e+06
10550000.000, -7.47110e+01, -2.14748e+06, -2.14748e+06
10600000.000, -7.46930e+01, -2.14748e+06, -2.14748e+06
10650000.000, -7.40400e+01, -2.14748e+06, -2.14748e+06
10700000.000, -7.44040e+01, -2.14748e+06, -2.14748e+06
10750000.000, -7.45020e+01, -2.14748e+06, -2.14748e+06
10800000.000, -7.40870e+01, -2.14748e+06, -2.14748e+06
10850000.000, -7.42820e+01, -2.14748e+06, -2.14748e+06
10900000.000, -7.44630e+01, -2.14748e+06, -2.14748e+06
10950000.000, -7.47650e+01, -2.14748e+06, -2.14748e+06
11000000.000, -7.46080e+01, -2.14748e+06, -2.14748e+06
11050000.000, -7.46920e+01, -2.14748e+06, -2.14748e+06
11100000.000, -7.44680e+01, -2.14748e+06, -2.14748e+06
11150000.000, -7.46710e+01, -2.14748e+06, -2.14748e+06
11200000.000, -7.45760e+01, -2.14748e+06, -2.14748e+06
11250000.000, -7.45410e+01, -2.14748e+06, -2.14748e+06
11300000.000, -7.44690e+01, -2.14748e+06, -2.14748e+06
11350000.000, -7.44660e+01, -2.14748e+06, -2.14748e+06
11400000.000, -7.45360e+01, -2.14748e+06, -2.14748e+06
11450000.000, -7.46060e+01, -2.14748e+06, -2.14748e+06
11500000.000, -7.43740e+01, -2.14748e+06, -2.14748e+06
11550000.000, -7.43430e+01, -2.14748e+06, -2.14748e+06
11600000.000, -7.47540e+01, -2.14748e+06, -2.14748e+06
11650000.000, -7.47940e+01, -2.14748e+06, -2.14748e+06
11700000.000, -7.46710e+01, -2.14748e+06, -2.14748e+06
11750000.000, -7.45380e+01, -2.14748e+06, -2.14748e+06
11800000.000, -7.42240e+01, -2.14748e+06, -2.14748e+06
11850000.000, -7.46540e+01, -2.14748e+06, -2.14748e+06
11900000.000, -7.43770e+01, -2.14748e+06, -2.14748e+06
11950000.000, -7.43040e+01, -2.14748e+06, -2.14748e+06
12000000.000, -7.42070e+01, -2.14748e+06, -2.14748e+06
12050000.000, -7.43870e+01, -2.14748e+06, -2.14748e+06
12100000.000, -7.43660e+01, -2.14748e+06, -2.14748e+06
12150000.000, -7.46580e+01, -2.14748e+06, -2.14748e+06
12200000.000, -7.47280e+01, -2.14748e+06, -2.14748e+06
12250000.000, -7.45310e+01, -2.14748e+06, -2.14748e+06
12300000.000, -7.45680e+01, -2.14748e+06, -2.14748e+06
12350000.000, -7.47600e+01, -2.14748e+06, -2.14748e+06
12400000.000, -7.44750e+01, -2.14748e+06, -2.14748e+06
12450000.000, -7.45690e+01, -2.14748e+06, -2.14748e+06
12500000.000, -7.45300e+01, -2.14748e+06, -2.14748e+06
12550000.000, -7.46590e+01, -2.14748e+06, -2.14748e+06
12600000.000, -7.47860e+01, -2.14748e+06, -2.14748e+06
12650000.000, -7.45250e+01, -2.14748e+06, -2.14748e+06
12700000.000, -7.47210e+01, -2.14748e+06, -2.14748e+06
12750000.000, -7.46060e+01, -2.14748e+06, -2.14748e+06
